time_s,sig_activation_sine_ratio_af,sig_activation_square_ratio_af,left_ventricle_stiffness_cgs_af,left_ventricle_pressure_mmhg_af,arterial_compliance_pressure_mmhg_af,left_ventricle_volume_ml_af,mitral_flow_ml_per_s_af,tricuspid_flow_ml_per_s_af
2.656,0.5993041407724866,0.2559999999999998,1516.2916655964545,26.4704381122582,41.46130598008082,33.253193541533086,0.0,-8.668507206848421e-08
2.657,0.5876313537665587,0.2569999999999997,1487.6349734969017,25.970168136614138,41.45562560492282,33.25319354159569,0.0,-8.668507206848421e-08
2.658,0.5758296731025175,0.25799999999999956,1458.6618474666805,25.464374062293974,41.450012491196375,33.2531935416583,0.0,-8.668507206848421e-08
2.6590000000000003,0.5639014769473013,0.2589999999999999,1429.3781259056248,24.953157812301647,41.44446610729581,33.2531935417209,0.0,-8.668507206848421e-08
2.66,0.5518491851375711,0.2599999999999998,1399.789749512737,24.436623095513756,41.43898407299772,33.2531935417835,0.0,-8.668507206848421e-08
2.661,0.5396752584266596,0.2609999999999997,1369.9027594374495,23.914875374405455,41.43356223309084,33.25319354184611,0.0,-8.668507206848421e-08
2.662,0.527382197715099,0.26199999999999957,1339.723295390568,23.388021832072535,41.42819481561207,33.253193541908715,0.0,-8.668507206848421e-08
2.6630000000000003,0.5149725432649628,0.2629999999999999,1309.2575937154836,22.856171338559907,41.42287455735626,33.25319354197132,0.0,-8.668507206848421e-08
2.664,0.5024488738983848,0.2639999999999998,1278.5119854205345,22.31943441651182,41.417592821119904,33.25319354203393,0.0,-8.668507206848421e-08
2.665,0.4898138061804891,0.2649999999999997,1247.4928941731007,21.777923206154092,41.41233971840271,33.253193542096525,0.0,-8.668507206848421e-08
2.666,0.4770699935871657,0.26599999999999957,1216.2068342564917,21.23175142962677,41.407104293924704,33.25319354215913,0.0,-8.668507206848421e-08
2.6670000000000003,0.46422012565793624,0.2669999999999999,1184.6604084902333,20.68103435467782,41.40187470205765,33.25319354222174,0.0,-8.668507206848421e-08
2.668,0.45126692713430494,0.2679999999999998,1152.8603061147187,20.12588875773478,41.39663830395392,33.25319354228434,0.0,-8.668507206848421e-08
2.669,0.43821315708386105,0.2689999999999997,1120.8133006408789,19.566432886365654,41.391381855333876,33.25319354234695,0.0,-8.668507206848421e-08
2.67,0.4250616080105767,0.2699999999999996,1088.5262476659657,19.0027864211483,41.38609171705645,33.253193542409555,0.0,-8.668507206848421e-08
2.6710000000000003,0.41181510495158746,0.2709999999999999,1056.006082656147,18.435070436960395,41.380753939630075,33.25319354247216,0.0,-8.668507206848421e-08
2.672,0.39847650456086336,0.2719999999999998,1023.2598186969195,17.86340736370758,41.37535445690726,33.25319354253476,0.0,-8.668507206848421e-08
2.673,0.3850486941800593,0.2729999999999997,990.2945442120457,17.287920946502208,41.36987927143169,33.253193542597366,0.0,-8.668507206848421e-08
2.674,0.37153459089702756,0.2739999999999996,957.1174206522027,16.708736205313187,41.36431453515541,33.25319354265997,0.0,-8.668507206848421e-08
2.6750000000000003,0.35793714059227016,0.2749999999999999,923.7356801540233,16.125979394099087,41.35864675147863,33.25319354272258,0.0,-8.668507206848421e-08
2.676,0.3442593169738011,0.2759999999999998,890.1566231706817,15.539777959444413,41.352862889584316,33.25319354278518,0.0,-8.668507206848421e-08
